00:04.781  blend            | Read blend: "C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\static_approval\c3_br_static_approval.blend"
00:16.234  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:17.250  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:18.469  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:20.656  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:21.656  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:22.547  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:23.797  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:26.219  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:28.062  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:29.359  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:29.937  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:31.047  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:32.515  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
00:33.859  render           | Saved: 'C:\Users\paulo\OneDrive\Área de Trabalho\Projetos\CafeTycoon\artifacts\v007\stage_2c\_frame_84008.png'
